Product,Brand,Model,Age,Condition,Seller_Urgency,Region,Original_Price,Listings_in_Region,Local_Demand_Score,Fair_Price,Negotiable
Laptop,Dell,Inspiron,3.3,Fair,5,Chennai,79820,43,5.0,53878,Yes
Mobile,Samsung,Galaxy S10,1.2,Very Good,3,Delhi,47131,44,7.4,40391,No
Mobile,Apple,iPhone XR,0.7,Very Good,2,Mumbai,62735,48,9.4,56273,No
Laptop,HP,Pavilion,0.5,Good,4,Hyderabad,86104,16,6.5,81153,Yes
Bike,Honda,CB Shine,0.6,Good,1,Chennai,28658,46,1.4,24273,No
Laptop,HP,Pavilion,7.8,Fair,3,Bangalore,70435,7,8.7,14334,Yes
Mobile,OnePlus,7T,5.6,Poor,1,Mumbai,83038,22,9.5,32177,Yes
Laptop,Dell,Inspiron,7.7,Like New,2,Hyderabad,46001,13,1.1,7153,No
Furniture,Pepperfry,Sofa,2.2,Very Good,4,Chennai,26483,11,6.5,20458,Yes
Mobile,Apple,iPhone XR,6.7,Fair,3,Delhi,83077,21,3.3,23802,Yes
Furniture,IKEA,Chair,5.5,Fair,2,Hyderabad,69557,10,2.9,26745,Yes
Laptop,Dell,Inspiron,4.8,Fair,5,Chennai,48758,22,8.0,26329,Yes
Bike,Yamaha,FZ,7.5,Fair,4,Bangalore,35606,19,1.8,7798,Yes
Bike,Bajaj,Pulsar,2.0,Fair,1,Delhi,92789,44,8.6,68942,Yes
Laptop,Dell,Inspiron,6.1,Very Good,5,Bangalore,89807,30,9.7,37584,Yes
Mobile,Apple,iPhone XR,5.1,Poor,5,Bangalore,41044,19,2.5,19804,Yes
Mobile,Apple,iPhone XR,0.6,Very Good,1,Mumbai,65592,48,3.6,56278,No
Mobile,Samsung,Galaxy S10,0.6,Poor,3,Delhi,42504,12,7.6,39019,Yes
Laptop,HP,Pavilion,6.3,Fair,5,Delhi,6561,43,6.9,2523,Yes
Bike,Honda,CB Shine,7.4,Fair,1,Mumbai,33535,16,4.0,6036,Yes
Furniture,UrbanLadder,Table,1.0,Good,5,Chennai,99354,48,6.7,90760,Yes
Laptop,Apple,MacBook Air,7.2,Fair,1,Bangalore,11110,18,8.6,2478,Yes
Laptop,Apple,MacBook Air,5.9,Good,3,Mumbai,3206,19,2.0,1154,No
Mobile,OnePlus,7T,3.8,Like New,3,Delhi,53015,43,5.3,31093,No
Bike,Honda,CB Shine,4.7,Poor,4,Mumbai,21141,41,3.2,10697,Yes
Mobile,Samsung,Galaxy S10,3.6,Fair,3,Delhi,36827,17,1.7,21673,Yes
Mobile,Samsung,Galaxy S10,2.7,Very Good,4,Mumbai,46585,46,8.3,34077,Yes
Furniture,IKEA,Chair,5.3,Fair,4,Hyderabad,98259,48,2.7,43578,Yes
Mobile,Apple,iPhone XR,7.2,Poor,3,Delhi,21047,32,4.2,5072,Yes
Bike,Honda,CB Shine,7.3,Very Good,1,Bangalore,69842,17,8.7,14911,No
Mobile,OnePlus,7T,0.6,Very Good,3,Mumbai,97856,41,7.2,89636,No
Mobile,Apple,iPhone XR,2.5,Very Good,3,Hyderabad,96557,36,5.7,69376,No
Mobile,Samsung,Galaxy S10,5.8,Fair,1,Mumbai,54005,16,3.3,18173,Yes
Laptop,Apple,MacBook Air,4.2,Fair,1,Chennai,70172,21,3.4,34875,Yes
Furniture,UrbanLadder,Table,7.8,Poor,4,Bangalore,3854,41,4.1,1000,Yes
Mobile,OnePlus,7T,5.3,Good,2,Delhi,90092,48,5.0,37388,No
Bike,Yamaha,FZ,4.6,Like New,4,Mumbai,55662,15,4.3,29028,Yes
Furniture,Pepperfry,Sofa,2.3,Very Good,5,Mumbai,55083,38,6.7,43158,Yes
Bike,Honda,CB Shine,4.5,Very Good,1,Chennai,96384,10,7.3,46891,No
Mobile,Samsung,Galaxy S10,6.9,Good,4,Chennai,59250,40,1.1,16323,Yes
Bike,Yamaha,FZ,4.3,Fair,3,Delhi,14411,36,1.9,7487,Yes
Furniture,UrbanLadder,Table,7.6,Like New,2,Bangalore,14111,5,7.1,2759,No
Mobile,Samsung,Galaxy S10,6.0,Fair,2,Mumbai,50254,35,8.9,18318,Yes
Furniture,UrbanLadder,Table,2.4,Poor,4,Hyderabad,99601,6,10.0,76693,Yes
Laptop,HP,Pavilion,7.7,Fair,5,Mumbai,32855,13,3.5,7475,Yes
Mobile,OnePlus,7T,5.8,Good,3,Bangalore,7499,28,4.6,2872,No
Mobile,OnePlus,7T,7.2,Fair,4,Chennai,15874,12,8.1,4453,Yes
Furniture,IKEA,Chair,5.5,Poor,3,Delhi,5557,29,7.0,2362,Yes
Furniture,IKEA,Chair,0.5,Very Good,2,Hyderabad,80505,39,6.9,72817,No
Bike,Bajaj,Pulsar,2.2,Poor,1,Hyderabad,41467,37,5.4,29317,Yes
Laptop,Apple,MacBook Air,1.8,Very Good,3,Chennai,89416,37,5.9,70594,No
Mobile,Apple,iPhone XR,4.3,Very Good,5,Bangalore,77290,12,6.7,45099,Yes
Furniture,UrbanLadder,Table,6.5,Very Good,1,Hyderabad,42790,37,2.8,11297,No
Bike,Bajaj,Pulsar,5.9,Like New,3,Delhi,59835,39,7.9,23306,No
Laptop,Dell,Inspiron,0.8,Good,4,Mumbai,21589,33,3.5,19376,Yes
Furniture,UrbanLadder,Table,7.1,Very Good,4,Mumbai,66208,41,9.4,19664,Yes
Mobile,Apple,iPhone XR,3.7,Good,5,Delhi,69235,37,1.7,42822,Yes
Laptop,Dell,Inspiron,2.8,Fair,1,Bangalore,88314,22,6.0,57404,Yes
Mobile,Apple,iPhone XR,7.5,Good,2,Delhi,54885,28,2.9,10126,No
Laptop,Apple,MacBook Air,5.5,Very Good,2,Hyderabad,59958,31,3.7,23294,No
Furniture,IKEA,Chair,2.9,Good,1,Hyderabad,81069,43,3.6,50911,No
Furniture,IKEA,Chair,6.6,Good,3,Chennai,53993,29,6.5,16873,No
Mobile,Samsung,Galaxy S10,1.1,Very Good,1,Delhi,73316,24,6.8,60412,No
Furniture,Pepperfry,Sofa,5.8,Good,4,Mumbai,90922,27,1.2,35096,Yes
Bike,Yamaha,FZ,4.8,Poor,3,Hyderabad,96848,26,6.3,47601,Yes
Mobile,OnePlus,7T,0.7,Like New,4,Delhi,73313,10,3.7,66605,Yes
Laptop,HP,Pavilion,4.5,Fair,5,Delhi,83135,48,9.7,48094,Yes
Furniture,Pepperfry,Sofa,3.9,Good,5,Delhi,61335,34,5.9,37997,Yes
Laptop,HP,Pavilion,5.3,Very Good,4,Hyderabad,97476,46,3.9,43815,Yes
Furniture,UrbanLadder,Table,6.5,Good,3,Mumbai,31251,30,1.2,9250,No
Mobile,Samsung,Galaxy S10,7.7,Fair,1,Chennai,77740,5,2.6,11117,Yes
Mobile,OnePlus,7T,1.7,Good,2,Delhi,49175,29,6.9,38578,No
Laptop,Apple,MacBook Air,2.6,Poor,5,Bangalore,56222,9,6.5,42307,Yes
Furniture,IKEA,Chair,3.6,Very Good,4,Bangalore,70215,41,2.1,42866,Yes
Laptop,HP,Pavilion,3.1,Like New,4,Delhi,57340,34,8.7,39765,Yes
Mobile,OnePlus,7T,5.8,Fair,4,Chennai,46919,30,7.9,19683,Yes
Bike,Honda,CB Shine,6.6,Very Good,4,Delhi,65752,34,6.8,21961,Yes
Bike,Bajaj,Pulsar,0.9,Very Good,5,Mumbai,71385,35,1.1,63925,Yes
Laptop,HP,Pavilion,7.5,Very Good,1,Bangalore,44975,9,7.2,8365,No
Bike,Bajaj,Pulsar,5.1,Very Good,2,Delhi,97704,32,6.3,43136,No
Laptop,HP,Pavilion,7.6,Good,4,Mumbai,75369,39,6.8,17636,Yes
Laptop,Apple,MacBook Air,3.9,Fair,3,Bangalore,96610,41,6.6,56324,Yes
Mobile,OnePlus,7T,6.7,Very Good,2,Chennai,85986,48,3.5,23001,No
Bike,Bajaj,Pulsar,2.1,Very Good,2,Bangalore,95658,39,4.0,69830,No
Laptop,Apple,MacBook Air,5.4,Poor,5,Mumbai,18305,30,4.1,8429,Yes
Laptop,Dell,Inspiron,2.5,Fair,4,Hyderabad,85745,49,9.4,64909,Yes
Furniture,Pepperfry,Sofa,0.8,Good,1,Chennai,63692,40,2.6,53055,No
Mobile,OnePlus,7T,6.1,Very Good,3,Bangalore,86042,40,4.3,30244,No
Mobile,Samsung,Galaxy S10,6.3,Good,5,Bangalore,47811,17,7.7,18575,Yes
Bike,Honda,CB Shine,2.3,Very Good,1,Chennai,17397,24,8.4,12387,No
Bike,Honda,CB Shine,2.9,Good,3,Bangalore,42954,40,1.1,28156,No
Laptop,HP,Pavilion,7.3,Very Good,4,Chennai,72896,11,9.6,20265,Yes
Mobile,Samsung,Galaxy S10,5.6,Fair,4,Chennai,57098,20,5.0,24267,Yes
Bike,Yamaha,FZ,2.7,Good,1,Mumbai,14130,25,7.8,9453,No
Mobile,Samsung,Galaxy S10,6.4,Like New,1,Bangalore,4062,49,9.4,1247,No
Laptop,Dell,Inspiron,7.8,Like New,2,Mumbai,12348,39,9.0,2284,No
Furniture,Pepperfry,Sofa,3.1,Good,2,Bangalore,75267,13,7.9,48886,No
Bike,Bajaj,Pulsar,5.1,Very Good,5,Hyderabad,47261,11,4.8,23347,Yes
Mobile,OnePlus,7T,2.2,Fair,1,Bangalore,96105,31,7.4,68907,Yes
Mobile,Apple,iPhone XR,1.1,Like New,5,Bangalore,57693,23,6.2,51981,Yes
